"edata_pageid","Count"
"","287590"
"page/home","12213"
"app/search/learning","3519"
"page/learn","2855"
"app/discussion-forum","1675"
"app/taxonomy/home","1265"
"app/taxonomy/Economics","1148"
"app/home/workallocation","964"
"app/network-v2/home","946"
"app/toc/do_113258618192003072110/overview","775"
"app/home/users","739"
"app/features","622"
"app/globalsearch","545"
"app/discussion-forum/categories","538"
"app/taxonomy/Law","485"
"app/discussion-forum/all-discussions","479"
"app/toc/do_11327642937307955214059/overview","469"
"app/person-profile/me","465"
"app/toc/do_11327642937307955214059/single-page-view","405"
"app/home/directory","376"
"app/home/welcome","346"
"app/toc/do_1132591765708554241127/overview","335"
"app/discussion-forum/tags","333"
"app/careers/home","319"
"app/network-v2/my-connection","314"
"app/toc/do_11328132809922969614490/overview","295"
"app/taxonomy/E-Governance%20&%20Information%20&%20Communication%20Technology","272"
"app/toc/do_11330632101357158414067/overview","258"
"app/network-v2/connection-requests","257"
"app/home/roles-access","243"
"app/discussion-forum/my-discussion","239"
"app/competencies/home","225"
"app/taxonomy/Public%20Administration","222"
"app/network-v2/my-mdo","217"
"app/taxonomy/Political%20Science","214"
"app/toc/do_1133166077012705281332/overview","213"
"app/home/approvals","208"
"app/toc/do_11328184150654976011/overview","201"
"app/discuss/home","180"
"app/workallocation/create","180"
"app/playlist/me","169"
"app/workallocation/drafts","167"
"app/taxonomy/Management","165"
"app/profile/settings","155"
"app/user-profile/details","148"
"app/toc/do_113253168068935680154/overview","146"
"app/taxonomy/History","145"
"app/network-v2/recommended","141"
"app/home/cbp","139"
"viewer/pdf/do_113258618331938816113","139"
"app/taxonomy/PublicAdministration","137"
"viewer/pdf/do_11330537341004185613825","132"
"app/taxonomy/Information%20&%20Communication%20Technology%20and%20Digital%20Governance","129"
"app/taxonomy/Procedural%20Law","129"
"app/toc/do_113253022552432640127/overview","127"
"app/discussion-forum/tags/tag-discussions","124"
"app/discussion-forum/category/1","114"
"app/discussion-forum/category/2","113"
"app/home/create-user","112"
"app/notifications","112"
"app/taxonomy/E-GovernanceInformationCommunicationTechnology","106"
