"","287590"
"page/home","12213"
"app/taxonomy/<slug>","6972"
"app/toc/<do_id>/overview","5581"
"app/search/learning","3519"
"page/learn","2855"
"app/discussion-forum","1675"
"app/home/workallocation","964"
"app/network-v2/home","946"
"viewer/pdf/<do_id>","901"
"app/toc/<do_id>/single-page-view","825"
"app/home/users","739"
"app/features","622"
"app/globalsearch","545"
"app/discussion-forum/categories","538"
"app/discussion-forum/all-discussions","479"
"app/person-profile/me","465"
"viewer/html/<do_id>","443"
"app/workallocation/drafts/<uuid>","433"
"app/home/directory","376"
"app/home/welcome","346"
"app/discussion-forum/tags","333"
"viewer/video/<do_id>","330"
"app/careers/home","319"
"app/network-v2/my-connection","314"
"viewer/quiz/<do_id>","305"
"app/discussion-forum/category/<num>","302"
"app/person-profile/<uuid>","285"
"app/network-v2/connection-requests","257"
"app/home/roles-access","243"
"app/discussion-forum/my-discussion","239"
"app/competencies/home","225"
"app/network-v2/my-mdo","217"
"app/home/approvals","208"
"app/roles/<num>/users;<params>","204"
"viewer/youtube/<do_id>","190"
"<do_id>","186"
"app/discuss/home","180"
"app/workallocation/create","180"
"app/playlist/me","169"
"app/workallocation/drafts","167"
"app/profile/settings","155"
"app/user-profile/details","148"
"app/network-v2/recommended","141"
"app/home/cbp","139"
"app/discussion-forum/tags/tag-discussions","124"
"viewer/audio/<do_id>","116"
"app/home/create-user","112"
"app/notifications","112"
"question_set","102"
"app/workallocation/update/<uuid>/<uuid>","98"
"app/users/<uuid>/details","92"
"app/workallocation/published/<uuid>","76"
"app/discussion/forum","73"
"app/workallocation/create/<uuid>","71"
"app/discuss/home/<num>","70"
"app/playlist/me/<do_id>","66"
"app/users/create-user","65"
"app/workallocation/details/<uuid>","62"
"app/goals/me/all","59"
"app/playlist/create","56"
"app/approvals/<uuid>/to-approve","55"
"app/home/competency","54"
"app/discussion-forum/topic/<num>/testing-124","53"
"collection_editor","51"
"app/home/budgeting","49"
"app/home/MDO/create-department;<params>","49"
"app/careers/home/<num>","48"
"app/my-dashboard","44"
"app/workallocation/published","43"
"app/invalid-user","41"
"app/playlist/me/<do_id>/edit","39"
"app/careers/home/<num>/job%20openings%20for%20full%20stack%20developer","37"
"page/home/widgetData.strips%5B0%5D%3F.viewMoreUrl%3F.path","35"
"workspace","35"
"app/roles/CONTENT%20CREATOR/users","34"
"app/careers/home/<num>/Junior%20Software%20Developer","32"
"app/discussion-forum/topic/<num>/new-post-for-widgting","32"
"app/profile/dashboard","29"
"app/careers/home/<num>/New%20discussion","28"
"app/careers/home/<num>/Chennai%20Port%20Trust%20Recruitment%202020:%20Apply%20for%20Deputy%20Secretary%20Post","28"
"app/discussion/forum/categories","28"
"app/events/list","28"
"app/careers/home/<num>/Digitalisation%20of%20APARs%20in%20respect%20of%20CSS%20Officers","27"
"app/discussion-forum/topic/<num>/india-logs-3-29-942-coronavirus-cases-in-past-24-hours-karnataka-tops-chart-with-most-infections","26"
"app/home/workallocation;<params>","25"
"app/playlist/shared","24"
"app/home/directory;<params>","23"
"app/workallocation/drafts;<params>","23"
"app/taxonomy/<slug>/Special%20Laws","22"
"app/discussion-forum/topic/<num>/new-post-to-test-tags-edited","21"
"app/event-hub/home","21"
"app/profile/interest","21"
"app/goals/edit/me/<do_id>","21"
"app/careers/home/<num>/ONGC%20Recruitment%202020","19"
"app/discussion-forum/topic/<num>/comment","19"
"app/discussion-forum/topic/<num>/test-post-edited","19"
"app/goals/create/custom","17"
"workspace-content-upforreview","16"
